title_1	year_1	title_2	year_2	rating
logan	2017	tees maar khan	2010	NOT_OK
jurassic park	1993	the killer elite	1975	NOT_OK
the motorcycle diaries	2004	where the wild things are	2009	NOT_OK
beauty and the beast	2014	the last legion	2007	NOT_OK
aquaman	2018	balto	1995	NOT_OK
back to the future	1985	our house	2018	NOT_OK
tehilim	2007	top gun	1986	NOT_OK
her	2013	quartet	1981	NOT_OK
aliens	1986	calendar girl	1947	NOT_OK
transformers	2007	wing commander	1999	NOT_OK
celtic pride	1996	top gun	1986	NOT_OK
psycho	1960	the warning	2015	OK
princess mononoke	1997	silent night, deadly night 5: the toy maker	1991	NOT_OK
a father's choice	2000	gravity	2013	NOT_OK
batman	1989	the day of the locust	1975	NOT_OK
prince avalanche	2013	rambo	2008	NOT_OK
dilim	2014	the sting	1973	NOT_OK
in good company	2004	red sparrow	2018	NOT_OK
birth	2004	drive	2011	NOT_OK
darkness falls	2003	ghostbusters	1984	NOT_OK
i'll always know what you did last summer	2006	life of pi	2012	NOT_OK
ran	1985	the messenger: the story of joan of arc	1999	NOT_OK
the spirit	2008	toy story	1995	NOT_OK
socket	2007	taxi driver	1976	NOT_OK
aquaman	2018	control	2007	NOT_OK
1917	2019	the devil's candy	2015	NOT_OK
marrowbone	2017	spider-man	2002	NOT_OK
2001: a space odyssey	1968	pippi longstocking	1969	NOT_OK
spirited away	2001	the wheeler dealers	1963	NOT_OK
presto	2008	toy story	1995	OK
a little bit of heaven	2011	city lights	1931	NOT_OK
death in love	2008	the rules of the game	1939	NOT_OK
casablanca	1942	ragini mms	2011	NOT_OK
corridors of blood	1958	inglourious basterds	2009	NOT_OK
curse of the komodo	2004	the terminator	1984	OK
northwest passage	1940	spirited away	2001	NOT_OK
the bodyguard	2004	the great dictator	1940	NOT_OK
dhoom	2004	goodfellas	1990	NOT_OK
annie hall	1977	the young and prodigious t.s. spivet	2013	NOT_OK
spider-man	2002	the impossible kid	1982	NOT_OK
casablanca	1942	thor: the dark world	2013	NOT_OK
forrest gump	1994	let it ride	1989	NOT_OK
frozen	2013	jasper, texas	2003	NOT_OK
blade runner 2049	2017	book club	2018	NOT_OK
killers from space	1954	the hobbit: the desolation of smaug	2013	NOT_OK
stepmom	1998	there will be blood	2007	NOT_OK
back to the future	1985	broadway danny rose	1984	NOT_OK
black panther	2018	the girl next door	2004	NOT_OK
flicka	2006	winter sleep	2014	NOT_OK
brokeback mountain	2005	we are what we are	2010	NOT_OK
daddy's home	2015	pulp fiction	1994	NOT_OK
double indemnity	1944	the gamers: dorkness rising	2008	NOT_OK
guardians of the galaxy	2014	the young master	1980	NOT_OK
the rules of the game	1939	the secret of the grain	2007	NOT_OK
the maltese falcon	1941	the tribes of palos verdes	2017	NOT_OK
batman	1989	partners	2009	NOT_OK
green book	2018	gundamma katha	1962	NOT_OK
ace ventura: when nature calls	1995	killer movie	2008	NOT_OK
inside man	2006	swingers	1996	NOT_OK
it	2017	it happened one night	1934	NOT_OK
m	1931	the devil's 8	1969	NOT_OK
curdled	1996	despicable me	2010	NOT_OK
jojo rabbit	2019	mind the gap	2004	NOT_OK
malibu's most wanted	2003	metropolis	1927	NOT_OK
impact	1949	one flew over the cuckoo's nest	1975	NOT_OK
secret in their eyes	2015	star wars	1977	NOT_OK
iron man	2008	me and orson welles	2008	NOT_OK
apocalypse now	1979	intermedio	2005	NOT_OK
the dark knight rises	2012	the limits of control	2009	NOT_OK
first action hero	1994	rambo	2008	NOT_OK
space raiders	1983	the lord of the rings: the return of the king	2003	NOT_OK
scooby-doo! and the curse of the 13th ghost	2019	star wars: the force awakens	2015	NOT_OK
children of men	2006	shoulder arms	1918	NOT_OK
rambo	2008	taps	1981	OK
beyond the valley of the dolls	1970	pirates of the caribbean: the curse of the black pearl	2003	NOT_OK
i confess	1953	inglourious basterds	2009	NOT_OK
collateral damage	2002	thor: the dark world	2013	NOT_OK
gilda	1946	pretty woman	1990	OK
die hard	1988	little darlings	1980	NOT_OK
rocky	1976	swimming with sharks	1994	NOT_OK
guardians of the galaxy	2014	the frighteners	1996	NOT_OK
john wick	2014	rain	1932	NOT_OK
daybreak	1993	inglourious basterds	2009	NOT_OK
a girl named tamiko	1962	avengers: infinity war	2018	NOT_OK
american pie	1999	shree 420	1955	NOT_OK
bridge to terabithia	2007	inception	2010	NOT_OK
love with the proper stranger	1963	the sting	1973	NOT_OK
mimic 2	2001	saw	2004	OK
saw	2004	stuck between stations	2011	NOT_OK
armageddon	1998	dr. alien	1989	OK
black dragons	1942	the exorcist	1973	NOT_OK
hotel	2001	jurassic park	1993	NOT_OK
sleepaway camp	1983	the terminator	1984	NOT_OK
barking dogs never bite	2000	logan	2017	NOT_OK
bleeding steel	2017	jumanji	1995	NOT_OK
metropolis	1927	the hobbit: the desolation of smaug	2013	NOT_OK
ride the wild surf	1964	skyfall	2012	NOT_OK
gringo	2018	taxi driver	1976	OK
my brilliant life	2014	the lighthouse	2019	NOT_OK
roads to koktebel	2003	toy story 4	2019	NOT_OK
american warships	2012	city lights	1931	NOT_OK
iron man	2008	the visit	1964	NOT_OK
minions	2015	the catered affair	1956	NOT_OK
diary of a nymphomaniac	2008	the shawshank redemption	1994	NOT_OK
the green mile	1999	zontar, the thing from venus	1966	NOT_OK
austenland	2013	gone with the wind	1939	NOT_OK
the avengers	2012	the hangover part ii	2011	NOT_OK
12 angry men	1957	hiding out	1987	OK
five graves to cairo	1943	skyfall	2012	NOT_OK
annie hall	1977	sally	1929	OK
tolkien	2019	twister	1996	NOT_OK
pretty woman	1990	the lighthouse	2019	NOT_OK
anesthesia	2015	the hunt	2012	OK
man of steel	2013	the mummy returns	2001	OK
gone with the wind	1939	the walking stick	1970	NOT_OK
12 angry men	1957	summer 1993	2017	NOT_OK
brokeback mountain	2005	the explosive generation	1961	NOT_OK
beetlejuice	1988	my week with marilyn	2011	NOT_OK
fighting	2009	toy story	1995	NOT_OK
city of god	2002	irrational man	2015	NOT_OK
mary and max	2009	the initiation of sarah	2006	NOT_OK
bee season	2005	parasite	2019	NOT_OK
john wick	2014	welcome to the rileys	2010	NOT_OK
aquaman	2018	generation p	2011	NOT_OK
marmaduke	2010	metropolis	1927	NOT_OK
call me by your name	2017	one step	2017	NOT_OK
crazy/beautiful	2001	good time	2017	NOT_OK
the town that dreaded sundown	2014	titanic	1997	NOT_OK
one flew over the cuckoo's nest	1975	spider-man: homecoming	2017	NOT_OK
angus, thongs and perfect snogging	2008	skyfall	2012	NOT_OK
the thief	1997	war for the planet of the apes	2017	NOT_OK
ace ventura: when nature calls	1995	sinbad and the eye of the tiger	1977	NOT_OK
american pie	1999	police academy: mission to moscow	1994	OK
jewel robbery	1932	the gold rush	1925	NOT_OK
psycho	1960	the atomic kid	1954	NOT_OK
the birth of a nation	1915	theeya velai seiyyanum kumaru	2013	NOT_OK
alien 3	1992	frozen	2013	NOT_OK
10 things i hate about you	1999	the hunt	2012	NOT_OK
captain marvel	2019	the international	2009	NOT_OK
brice de nice	2005	whiplash	2014	NOT_OK
american pie	1999	the keeping room	2014	NOT_OK
sparkle	2012	toy story 4	2019	NOT_OK
guardians of the galaxy	2014	the slender thread	1965	NOT_OK
the conjuring	2013	welcome to the jungle	2013	NOT_OK
casablanca	1942	life blood	2009	NOT_OK
the empire strikes back	1980	thor: the dark world	2013	OK
amores perros	2000	mob queen	1998	NOT_OK
no one would tell	2018	pulp fiction	1994	NOT_OK
blade runner	1982	the expendables 2	2012	NOT_OK
blade runner	1982	the kingdom	2007	NOT_OK
bundle of joy	1956	war for the planet of the apes	2017	NOT_OK
amores perros	2000	k-9	1989	NOT_OK
closer	2004	raiders of the lost ark	1981	NOT_OK
despicable me	2010	my favorite year	1982	NOT_OK
barbie: a fairy secret	2011	nightcrawler	2014	NOT_OK
lost and found	2008	ted	2012	NOT_OK
deadpool	2016	micmacs	2009	NOT_OK
smurfs: the lost village	2017	wild tales	2014	NOT_OK
crime and punishment in suburbia	2000	rear window	1954	NOT_OK
lost horizon	1973	titanic	1997	NOT_OK
blue valley songbird	1999	ghostbusters	1984	NOT_OK
bride wars	2009	ran	1985	NOT_OK
a separation	2011	blade runner 2049	2017	NOT_OK
armageddon	1998	hotel rwanda	2004	NOT_OK
good time	2017	win win	2011	OK
ashes and diamonds	1958	you'll never get rich	1941	NOT_OK
king of beggars	1992	star wars	1977	NOT_OK
accident man	2018	the lord of the rings: the return of the king	2003	NOT_OK
cuba crossing	1980	the blues brothers	1980	NOT_OK
iron man	2008	turnabout	1940	NOT_OK
city lights	1931	the wrong move	1975	NOT_OK
pocahontas	1995	scandal sheet	1985	NOT_OK
tokyo drifter	1966	top gun	1986	NOT_OK
the maltese falcon	1941	white chicks	2004	NOT_OK
himala	1982	spider-man: far from home	2019	NOT_OK
captain marvel	2019	fire song	2015	NOT_OK
olympus has fallen	2013	spider-man	2002	NOT_OK
mad max 2	1981	thomas and the magic railroad	2000	NOT_OK
godzilla	1998	the stoning of soraya m.	2008	NOT_OK
darkest hour	2017	the hunger games	2012	NOT_OK
cold in july	2014	seven samurai	1954	NOT_OK
psycho	1960	rose marie	1936	NOT_OK
forrest gump	1994	the rains came	1939	NOT_OK
electra glide in blue	1973	nightcrawler	2014	OK
a matter of time	1976	whiplash	2014	NOT_OK
spider-man: far from home	2019	the boy with green hair	1948	NOT_OK
spirited away	2001	the house across the bay	1940	NOT_OK
marat/sade	1967	the passion of joan of arc	1928	OK
avengers: infinity war	2018	hickey & boggs	1972	NOT_OK
excalibur	1981	winter sleep	2014	NOT_OK
2001: a space odyssey	1968	the stupids	1996	NOT_OK
it	2017	song to song	2017	NOT_OK
double indemnity	1944	the sword and the sorcerer	1982	NOT_OK
23rd march 1931: shaheed	2002	a separation	2011	NOT_OK
like dandelion dust	2009	the hobbit: the desolation of smaug	2013	NOT_OK
nights of cabiria	1957	scaregivers	2008	NOT_OK
ran	1985	stepfather ii	1989	NOT_OK
aarakshan	2011	deadpool	2016	NOT_OK
mary and max	2009	the dark tower	2017	NOT_OK
dragon ball z: wrath of the dragon	1995	the dark knight rises	2012	NOT_OK
strange brew	1983	toy story 4	2019	NOT_OK
merry andrew	1958	spectre	2015	NOT_OK
logan	2017	mulan ii	2004	NOT_OK
the pianist	2002	they call it sin	1932	NOT_OK
blade runner	1982	vice versa	1988	NOT_OK
the gold rush	1925	wishmaster	1997	NOT_OK
the godfather	1972	the remains of the day	1993	NOT_OK
bohemian rhapsody	2018	lost city raiders	2008	NOT_OK
cyrano de bergerac	1950	vertigo	1958	NOT_OK
the master of ballantrae	1953	whiplash	2014	NOT_OK
jewel robbery	1932	rush	2013	NOT_OK
first love	1977	touch of evil	1958	NOT_OK
final draft	2007	star wars: the force awakens	2015	NOT_OK
casual sex?	1988	the godfather	1972	NOT_OK
like mike	2002	the avengers	2012	NOT_OK
all quiet on the western front	1930	don't be afraid of the dark	2010	NOT_OK
hero	2002	identity unknown	1945	NOT_OK
college road trip	2008	spectre	2015	NOT_OK
black panther	2018	transit	2013	NOT_OK
edward and caroline	1951	nightcrawler	2014	NOT_OK
the avengers	2012	traitor	2008	NOT_OK
a hole in the head	1959	mission: impossible	1996	NOT_OK
amadeus	1984	revenge of the green dragons	2014	NOT_OK
ticked-off trannies with knives	2010	twister	1996	NOT_OK
mary poppins	1964	star wars: the force awakens	2015	NOT_OK
aliens	1986	it felt like love	2013	NOT_OK
rosemary's baby	1968	where does it hurt?	1972	NOT_OK
annie hall	1977	bad influence	1990	NOT_OK
nights of cabiria	1957	to sir, with love	1967	NOT_OK
sudden death	1995	war for the planet of the apes	2017	NOT_OK
inception	2010	wolves	2014	NOT_OK
john wick	2014	scarlet street	1945	NOT_OK
12 angry men	1957	kung fu panda 2	2011	NOT_OK
double indemnity	1944	you can't hurry love	1988	NOT_OK
portrait of a lady on fire	2019	the salt of life	2011	NOT_OK
butch cassidy and the sundance kid	1969	the hunger games	2012	NOT_OK
pyaar ka punchnama	2011	transformers	2007	NOT_OK
bullet boy	2004	pulp fiction	1994	NOT_OK
austin powers in goldmember	2002	rosemary's baby	1968	NOT_OK
gravity	2013	warm bodies	2013	NOT_OK
ted	2012	welcome to the rileys	2010	NOT_OK
the blues brothers	1980	the disappearance of eleanor rigby	2013	NOT_OK
saw	2004	the bye bye man	2017	OK
ace ventura: when nature calls	1995	spy hard	1996	OK
avengers: infinity war	2018	thor: ragnarok	2017	OK
edge of tomorrow	2014	gravity	2013	OK
the hunt	2012	winged creatures	2008	OK
inception	2010	the hunger games: catching fire	2013	NOT_OK
first reformed	2017	miss sloane	2016	OK
tokyo story	1953	ugetsu	1953	OK
aliens	1986	the terminator	1984	OK
armageddon	1998	virus	1999	NOT_OK
saw	2004	toolbox murders	2004	OK
shazam!	2019	spider-man: far from home	2019	OK
back to the future	1985	shrek	2001	NOT_OK
spies like us	1985	top gun	1986	NOT_OK
good time	2017	the neon demon	2016	NOT_OK
lady bird	2017	the florida project	2017	NOT_OK
escape from new york	1981	mad max 2	1981	OK
life of pi	2012	the way	2010	OK
jurassic world	2015	minions	2015	NOT_OK
analyze this	1999	the green mile	1999	NOT_OK
freezer	2014	john wick	2014	OK
blade runner 2049	2017	damascus cover	2017	NOT_OK
ghostbusters	1984	the evil dead	1981	NOT_OK
it's a wonderful life	1946	singin' in the rain	1952	OK
april and the extraordinary world	2015	beauty and the beast	2014	OK
sex, lies, and videotape	1989	the graduate	1967	OK
man of steel	2013	riddick	2013	OK
psycho	1960	vertigo	1958	OK
iron man	2008	star trek	2009	OK
bullitt	1968	the sting	1973	OK
fantastic beasts and where to find them	2016	the hobbit: the desolation of smaug	2013	OK
quinceañera	2006	the motorcycle diaries	2004	NOT_OK
lean on pete	2017	the florida project	2017	OK
1917	2019	iceman	2017	OK
aliens	1986	blade runner	1982	OK
one flew over the cuckoo's nest	1975	the sting	1973	OK
star trek vi: the undiscovered country	1991	the terminator	1984	OK
double indemnity	1944	the maltese falcon	1941	OK
addams family values	1993	beetlejuice	1988	OK
raiders of the lost ark	1981	the terminator	1984	OK
bohemian rhapsody	2018	florence foster jenkins	2016	OK
minions	2015	the swan princess: a royal family tale	2014	NOT_OK
spider-man: far from home	2019	toy story 4	2019	OK
gravity	2013	guardians of the galaxy	2014	OK
raiders of the lost ark	1981	star trek iv: the voyage home	1986	NOT_OK
charlie's angels	2019	joker	2019	NOT_OK
dawn of the planet of the apes	2014	logan	2017	OK
ted	2012	zero charisma	2013	NOT_OK
the exorcist	1973	the haunting	1963	OK
singin' in the rain	1952	some like it hot	1959	OK
double indemnity	1944	the godfather	1972	NOT_OK
million dollar baby	2004	there will be blood	2007	NOT_OK
bohemian rhapsody	2018	high strung	2016	NOT_OK
gravity	2013	thor: the dark world	2013	NOT_OK
avengers: endgame	2019	avengers: infinity war	2018	OK
mission: impossible	1996	ronin	1998	OK
armageddon	1998	godzilla	1998	NOT_OK
armageddon	1998	sphere	1998	NOT_OK
nights of cabiria	1957	the roof	1956	OK
star trek iv: the voyage home	1986	the terminator	1984	OK
top gun	1986	under siege	1992	OK
pirates of the caribbean: the curse of the black pearl	2003	x-men	2000	NOT_OK
star trek into darkness	2013	the avengers	2012	OK
american pie	1999	stuck in the suburbs	2004	OK
dark waters	2019	joker	2019	OK
city lights	1931	the unfinished dance	1947	OK
aliens	1986	platoon	1986	OK
blade runner	1982	mad max	1979	OK
star trek iv: the voyage home	1986	star wars	1977	OK
nights of cabiria	1957	story of a love affair	1950	OK
frenzy	1972	touch of evil	1958	OK
men in black	1997	star trek iv: the voyage home	1986	NOT_OK
il bidone	1955	nights of cabiria	1957	OK
enough said	2013	her	2013	OK
get out	2017	the florida project	2017	NOT_OK
black panther	2018	star wars: the force awakens	2015	NOT_OK
gravity	2013	pacific rim	2013	OK
all quiet on the western front	1930	julia	1977	OK
ben-hur	1959	it's a wonderful life	1946	NOT_OK
all quiet on the western front	1930	the best years of our lives	1946	OK
aladdin	1992	pocahontas	1995	OK
midnight cowboy	1969	rocky	1976	NOT_OK
pulp fiction	1994	the godfather	1972	OK
citizen kane	1941	gone with the wind	1939	OK
sully	2016	war for the planet of the apes	2017	OK
badlands	1973	vertigo	1958	NOT_OK
skyfall	2012	the revenant	2015	NOT_OK
no tears for the dead	2014	parasite	2019	NOT_OK
pulp fiction	1994	the silence of the lambs	1991	OK
despicable me	2010	the powerpuff girls movie	2002	OK
fargo	1996	taxi driver	1976	NOT_OK
barton fink	1991	twister	1996	NOT_OK
aquaman	2018	dark phoenix	2019	OK
annihilation	2018	it	2017	OK
mission: impossible	1996	the phantom	1996	NOT_OK
nowhere in africa	2001	the pianist	2002	OK
nights of cabiria	1957	the hawks and the sparrows	1966	OK
a streetcar named desire	1951	rosemary's baby	1968	OK
princess mononoke	1997	ran	1985	OK
gravity	2013	the avengers	2012	OK
butterfield 8	1960	city lights	1931	NOT_OK
dheepan	2015	life of pi	2012	OK
beavis and butt-head do america	1996	twister	1996	NOT_OK
back to the future	1985	monsters, inc.	2001	NOT_OK
it's a wonderful life	1946	the princess bride	1987	OK
ant-man and the wasp	2018	spider-man: far from home	2019	OK
green book	2018	the theory of everything	2014	OK
deadpool	2016	guardians of the galaxy	2014	OK
meet the parents	2000	ted	2012	OK
pretty woman	1990	staying alive	1983	OK
hero	2002	the warlords	2007	OK
black panther	2018	isle of dogs	2018	NOT_OK
the addams family	2019	us	2019	NOT_OK
badlands	1973	one flew over the cuckoo's nest	1975	OK
the shawshank redemption	1994	the usual suspects	1995	OK
the lord of the rings: the two towers	2002	titanic	1997	NOT_OK
annie hall	1977	deliverance	1972	NOT_OK
all-star superman	2011	thor: the dark world	2013	OK
beauty and the beast	2014	phantom boy	2015	NOT_OK
fargo	1996	the shawshank redemption	1994	NOT_OK
psycho	1960	to kill a mockingbird	1962	OK
office space	1999	spider-man	2002	NOT_OK
pocahontas	1995	the black hole	1979	NOT_OK
kill list	2011	nightcrawler	2014	OK
iron man	2008	star trek into darkness	2013	OK
early summer	1951	tokyo story	1953	OK
armageddon	1998	rambo	2008	OK
godzilla	1998	the fifth element	1997	OK
partie de campagne	1946	the rules of the game	1939	OK
cast no shadow	2014	the hunt	2012	OK
the blues brothers	1980	yogi's first christmas	1980	NOT_OK
how to train your dragon 2	2014	man of steel	2013	OK
enemy of the state	1998	inside man	2006	OK
beetlejuice	1988	rain man	1988	OK
inglourious basterds	2009	life of pi	2012	NOT_OK
chéri	2009	mary and max	2009	OK
the hobbit: the desolation of smaug	2013	the martian	2015	OK
free willy	1993	the blues brothers	1980	NOT_OK
ghostbusters	1984	the return of the living dead	1985	NOT_OK
interstellar	2014	star wars: the force awakens	2015	OK
interstellar	2014	mad max: fury road	2015	OK
little men	2016	the florida project	2017	OK
atonement	2007	there will be blood	2007	OK
despicable me	2010	the lego movie	2014	OK
batman	1989	the last starfighter	1984	OK
ghostbusters	1984	gremlins	1984	OK
citizen kane	1941	psycho	1960	OK
double indemnity	1944	gone with the wind	1939	NOT_OK
black hawk down	2001	saving private ryan	1998	OK
captain america: the winter soldier	2014	the dark knight rises	2012	OK
the mark of zorro	1920	the passion of joan of arc	1928	NOT_OK
the conjuring	2013	the house of the devil	2009	OK
ashes and diamonds	1958	life feels good	2013	NOT_OK
a streetcar named desire	1951	gone with the wind	1939	OK
a town called panic	2009	beauty and the beast	2014	NOT_OK
gone with the wind	1939	spartacus	1960	OK
jaws	1975	star trek vi: the undiscovered country	1991	NOT_OK
five day lover	1961	the rules of the game	1939	OK
bohemian rhapsody	2018	echo in the canyon	2018	OK
american pie	1999	go figure	2005	NOT_OK
a bronx tale	1993	pulp fiction	1994	NOT_OK
rosemary's baby	1968	the apartment	1960	NOT_OK
land of the dead	2005	the da vinci code	2006	NOT_OK
children of men	2006	district 9	2009	OK
how to train your dragon 2	2014	the hobbit: the desolation of smaug	2013	NOT_OK
husbands and wives	1992	pretty woman	1990	NOT_OK
the da vinci code	2006	wolf creek	2005	NOT_OK
escape plan 2: hades	2018	red sparrow	2018	OK
captain america: civil war	2016	gravity	2013	NOT_OK
city lights	1931	wild boys of the road	1933	OK
bridge of spies	2015	saving private ryan	1998	OK
a clockwork orange	1971	taxi driver	1976	OK
fatty and mabel adrift	1916	the gold rush	1925	OK
life of pi	2012	munich	2005	NOT_OK
gladiator	2000	titanic	1997	NOT_OK
deadpool	2016	mad max: fury road	2015	OK
nelly	2016	portrait of a lady on fire	2019	OK
jurassic park	1993	robocop	1987	OK
2001: a space odyssey	1968	aliens	1986	OK
bloodsport	1988	top gun	1986	NOT_OK
mary reilly	1996	the green mile	1999	NOT_OK
batman & mr. freeze: subzero	1998	men in black	1997	OK
godzilla	1998	militia	2000	NOT_OK
frozen	2013	year one	2009	NOT_OK
gremlins	1984	jurassic park	1993	OK
children of men	2006	the descent	2005	NOT_OK
pacific rim	2013	the hunger games	2012	OK
rear window	1954	shadow of a doubt	1943	OK
batman	1989	star trek iv: the voyage home	1986	OK
polaroid	2019	us	2019	OK
m	1931	the indian scarf	1963	OK
her	2013	the wolf of wall street	2013	NOT_OK
aquaman	2018	avengers grimm: time wars	2018	NOT_OK
amores perros	2000	sound of the sea	2001	NOT_OK
black panther	2018	the martian	2015	OK
2001: a space odyssey	1968	the terminator	1984	NOT_OK
rocky	1976	the last detail	1973	OK
avatar	2009	hellboy ii: the golden army	2008	OK
gravity	2013	star wars: the force awakens	2015	NOT_OK
amadeus	1984	the unbearable lightness of being	1988	OK
spectre	2015	star wars: the last jedi	2017	OK
city lights	1931	modern times	1936	OK
jumanji	1995	spider-man	2002	OK
a streetcar named desire	1951	rear window	1954	OK
inglourious basterds	2009	no man's land	2001	NOT_OK
aquaman	2018	first man	2018	NOT_OK
black panther	2018	kong: skull island	2017	NOT_OK
children of divorce	1927	the gold rush	1925	NOT_OK
i spit on your grave: deja vu	2019	the lighthouse	2019	NOT_OK
inception	2010	pacific rim	2013	NOT_OK
green room	2015	nightcrawler	2014	NOT_OK
men in black	1997	star trek: insurrection	1998	NOT_OK
pirates of the caribbean: the curse of the black pearl	2003	terminator 3: rise of the machines	2003	NOT_OK
chocolat	2000	life of pi	2012	NOT_OK
annie hall	1977	the graduate	1967	OK
the theory of everything	2014	whiplash	2014	OK
alice in wonderland	2010	frozen	2013	NOT_OK
the lord of the rings: the return of the king	2003	titanic	1997	NOT_OK
the big sick	2017	the florida project	2017	NOT_OK
apocalypse now	1979	spartacus	1960	NOT_OK
jurassic park	1993	mad max 2	1981	OK
five easy pieces	1970	rosemary's baby	1968	NOT_OK
beetlejuice	1988	what's eating gilbert grape	1993	OK
kong: skull island	2017	war for the planet of the apes	2017	OK
the lives of others	2006	the white ribbon	2009	OK
it's a wonderful life	1946	the wizard of oz	1939	OK
men in black	1997	star trek: first contact	1996	OK
i am legend	2007	pirates of the caribbean: the curse of the black pearl	2003	OK
anna karenina	2012	the grand budapest hotel	2014	NOT_OK
hellboy	2004	transformers	2007	OK
aliens	1986	the silence of the lambs	1991	OK
rear window	1954	the night of the hunter	1955	OK
beetlejuice	1988	innerspace	1987	OK
ran	1985	still walking	2008	OK
fargo	1996	forrest gump	1994	NOT_OK
guardians of the galaxy vol. 2	2017	logan	2017	OK
bringing up baby	1938	it's a wonderful life	1946	OK
first man	2018	war for the planet of the apes	2017	OK
heat	1995	the shawshank redemption	1994	OK
forrest gump	1994	october sky	1999	OK
avengers: age of ultron	2015	the dark knight rises	2012	OK
rear window	1954	taxi driver	1976	OK
godzilla	1998	reign of fire	2002	OK
beauty and the beast	1991	toy story	1995	OK
her	2013	the fault in our stars	2014	OK
star trek beyond	2016	war for the planet of the apes	2017	NOT_OK
guardians of the galaxy	2014	the avengers	2012	OK
12 angry men	1957	all quiet on the western front	1930	OK
a midsummer night's sex comedy	1982	pretty woman	1990	OK
jaws	1975	the exorcist	1973	NOT_OK
live and let die	1973	top gun	1986	OK
justice league: doom	2012	thor: the dark world	2013	OK
rear window	1954	the apartment	1960	OK
ace ventura: when nature calls	1995	in the army now	1994	OK
m	1931	mark of the devil	1970	OK
aliens	1986	jaws	1975	OK
goodfellas	1990	the godfather	1972	OK
portrait of a lady on fire	2019	the midwife	2017	OK
batman	1989	star trek ii: the wrath of khan	1982	OK
avatar	2009	iron man	2008	OK
aquaman	2018	the death of superman	2018	OK
prometheus	2012	the hunger games	2012	NOT_OK
avatar	2009	prometheus	2012	OK
blade runner	1982	reservoir dogs	1992	OK
brokeback mountain	2005	little miss sunshine	2006	OK
batman	1989	the monster squad	1987	OK
iron man	2008	rambo	2008	NOT_OK
the avengers	2012	the dark knight rises	2012	OK
despicable me	2010	harry potter and the philosopher's stone	2001	NOT_OK
frozen	2013	the chronicles of narnia: the voyage of the dawn treader	2010	NOT_OK
fright night	2011	spider-man	2002	NOT_OK
l'avventura	1960	nights of cabiria	1957	NOT_OK
broken	2013	the hunt	2012	OK
mad max 2	1981	raiders of the lost ark	1981	OK
born on the fourth of july	1989	forrest gump	1994	NOT_OK
badlands	1973	the sting	1973	OK
pocahontas	1995	the little engine that could	1991	NOT_OK
jug face	2013	the hunt	2012	NOT_OK
kung fu panda	2008	pirates of the caribbean: the curse of the black pearl	2003	NOT_OK
the great dictator	1940	the iron duke	1934	OK
american assassin	2017	red sparrow	2018	OK
beetlejuice	1988	poltergeist	1982	OK
the exorcist	1973	to kill a mockingbird	1962	NOT_OK
die hard	1988	lethal weapon 2	1989	OK
antibodies	2005	m	1931	NOT_OK
melancholia	2011	there will be blood	2007	NOT_OK
batman	1989	batman returns	1992	OK
ben is back	2018	the florida project	2017	OK
frozen	2013	rio	2011	NOT_OK
mandy	2018	the lighthouse	2019	NOT_OK
transformers	2007	x-men	2000	OK
brokeback mountain	2005	the wrestler	2008	NOT_OK
purple noon	1960	the rules of the game	1939	OK
elysium	2013	life of pi	2012	NOT_OK
minions	2015	the land before time xiv: journey of the brave	2016	OK
blade runner	1982	the terminator	1984	OK
amores perros	2000	burnt money	2001	OK
red sparrow	2018	the equalizer 2	2018	OK
bohemian rhapsody	2018	the late bloomer	2016	NOT_OK
skyfall	2012	the hunger games: catching fire	2013	OK
mad max 2	1981	star trek vi: the undiscovered country	1991	OK
beauties of the night	1952	the rules of the game	1939	OK
